[2025-11-09 15:59:41] INFO: Application Logger Initialized.
[2025-11-09 15:59:41] INFO: Logging in as Admin with ID: 123
[2025-11-09 15:59:45] INFO: app.properties normalized (57 entries).
[2025-11-09 15:59:45] INFO: Configuration loaded from file: /Users/justinlimchunkiat/FundProg2/FaceRecognitionCS102/app.properties
[2025-11-09 15:59:45] SEVERE: Exception in thread "AWT-EventQueue-0" 
[2025-11-09 15:59:45] SEVERE: java.lang.UnsatisfiedLinkError: /Users/justinlimchunkiat/FundProg2/FaceRecognitionCS102/lib/opencv_java480.dll: dlopen(/Users/justinlimchunkiat/FundProg2/FaceRecognitionCS102/lib/opencv_java480.dll, 0x0001): tried: '/Users/justinlimchunkiat/FundProg2/FaceRecognitionCS102/lib/opencv_java480.dll' (not a mach-o file), '/System/Volumes/Preboot/Cryptexes/OS/Users/justinlimchunkiat/FundProg2/FaceRecognitionCS102/lib/opencv_java480.dll' (no such file), '/Users/justinlimchunkiat/FundProg2/FaceRecognitionCS102/lib/opencv_java480.dll' (not a mach-o file)
[2025-11-09 15:59:45] SEVERE: 	at java.base/jdk.internal.loader.NativeLibraries.load(Native Method)
[2025-11-09 15:59:45] SEVERE: 	at java.base/jdk.internal.loader.NativeLibraries$NativeLibraryImpl.open(NativeLibraries.java:321)
[2025-11-09 15:59:45] SEVERE: 	at java.base/jdk.internal.loader.NativeLibraries.loadLibrary(NativeLibraries.java:187)
[2025-11-09 15:59:45] SEVERE: 	at java.base/jdk.internal.loader.NativeLibraries.loadLibrary(NativeLibraries.java:129)
[2025-11-09 15:59:45] SEVERE: 	at java.base/java.lang.ClassLoader.loadLibrary(ClassLoader.java:2245)
[2025-11-09 15:59:45] SEVERE: 	at java.base/java.lang.Runtime.load0(Runtime.java:767)
[2025-11-09 15:59:45] SEVERE: 	at java.base/java.lang.System.load(System.java:1624)
[2025-11-09 15:59:45] SEVERE: 	at app.FaceRecognitionApp.<clinit>(FaceRecognitionApp.java:17)
[2025-11-09 15:59:45] SEVERE: 	at gui.homepage.MainDashboard.lambda$addSideBarButtons$2(MainDashboard.java:174)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.event.InvocationEvent.dispatch(InvocationEvent.java:318)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventQueue.dispatchEventImpl(EventQueue.java:723)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventQueue.dispatchEvent(EventQueue.java:702)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:203)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:124)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventDispatchThread.pumpEventsForHierarchy(EventDispatchThread.java:113)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:109)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:101)
[2025-11-09 15:59:45] SEVERE: 	at java.desktop/java.awt.EventDispatchThread.run(EventDispatchThread.java:90)
