[2025-10-22 15:00:08] INFO: Application Logger Initialized.
[2025-10-22 15:00:08] INFO: app.properties normalized (55 entries).
[2025-10-22 15:00:08] INFO: Configuration loaded from file: C:\SMU\CS102 Project\FaceRecognitionCS102\app.properties
[2025-10-22 15:00:09] INFO: ￢ﾚﾠ￯ﾸﾏ ArcFace model not found, using feature-based embeddings
[2025-10-22 15:00:09] INFO: ￢ﾜﾓ FaceAligner initialized with fallback eye detector
[2025-10-22 15:00:09] INFO: StudentManager initialized successfully
[2025-10-22 15:00:10] INFO: GUI launched successfully
[2025-10-22 15:00:13] INFO: ￢ﾚﾠ￯ﾸﾏ ArcFace model not found, using feature-based embeddings
[2025-10-22 15:00:13] INFO: ￢ﾜﾓ FaceAligner initialized with fallback eye detector
[2025-10-22 15:00:13] INFO: FaceCaptureDialog created for student: Jin Rae
[2025-10-22 15:00:13] INFO: Dialog initialized
[2025-10-22 15:00:13] INFO: Starting camera preview...
[2025-10-22 15:00:13] INFO: Preview timer started at 20fps
[2025-10-22 15:00:18] INFO: detection.scale_factor has been changed to 1.23
[2025-10-22 15:00:18] INFO: Detection scale factor changed to 1.23
[2025-10-22 15:00:18] INFO: detection.scale_factor has been changed to 1.22
[2025-10-22 15:00:18] INFO: Detection scale factor changed to 1.22
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.22
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.22
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.22
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.22
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.21
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.21
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.21
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.21
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.21
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.21
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.2
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.2
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.2
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.2
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.2
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.2
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.19
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.19
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.19
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.19
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.19
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.19
[2025-10-22 15:00:19] INFO: detection.scale_factor has been changed to 1.18
[2025-10-22 15:00:19] INFO: Detection scale factor changed to 1.18
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.18
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.18
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.18
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.18
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.17
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.17
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.17
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.17
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.17
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.17
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.16
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.16
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.16
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.16
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.16
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.16
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.15
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.15
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.15
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.15
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.15
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.15
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.14
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.14
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.14
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.14
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.14
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.14
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.13
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.13
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.13
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.13
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.13
[2025-10-22 15:00:20] INFO: Detection scale factor changed to 1.13
[2025-10-22 15:00:20] INFO: detection.scale_factor has been changed to 1.12
