[2025-10-25 22:24:29] INFO: Application Logger Initialized.
[2025-10-25 22:24:29] INFO: app.properties normalized (54 entries).
[2025-10-25 22:24:29] INFO: Configuration loaded from file: C:\Users\Jereme\OneDrive\Pictures\Documents\GITHUB SHIT\FaceRecognitionCS102\app.properties
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.23
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.23
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.24
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.24
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.25
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.25
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.26
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.26
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.27
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.27
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.28
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.28
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.29
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.29
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.3
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.3
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.31
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.31
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.32
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.32
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.33
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.33
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.34
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.34
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.35
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.35
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.36
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.36
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.37
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.37
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.38
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.38
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.39
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.39
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.4
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.4
[2025-10-25 22:24:33] INFO: detection.scale_factor has been changed to 1.41
[2025-10-25 22:24:33] INFO: Detection scale factor changed to 1.41
[2025-10-25 22:24:34] INFO: detection.scale_factor has been changed to 1.4
[2025-10-25 22:24:34] INFO: Detection scale factor changed to 1.4
[2025-10-25 22:24:34] INFO: detection.scale_factor has been changed to 1.39
[2025-10-25 22:24:34] INFO: Detection scale factor changed to 1.39
[2025-10-25 22:24:34] INFO: detection.scale_factor has been changed to 1.38
[2025-10-25 22:24:34] INFO: Detection scale factor changed to 1.38
[2025-10-25 22:24:34] INFO: detection.scale_factor has been changed to 1.37
