[2025-10-26 21:57:02] INFO: Application Logger Initialized.
[2025-10-26 21:57:02] INFO: FaceCropSettingsPanel ctor - showCapture=false showSave=true
[2025-10-26 21:57:02] INFO: app.properties normalized (55 entries).
[2025-10-26 21:57:02] INFO: Configuration loaded from file: C:\Users\Jereme\OneDrive\Pictures\Documents\GITHUB SHIT\FaceRecognitionCS102\app.properties
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.23
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.23
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.22
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.22
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.21
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.21
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.2
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.2
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.19
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.19
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.2
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.2
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.21
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.21
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.22
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.22
[2025-10-26 21:57:22] INFO: detection.scale_factor has been changed to 1.23
[2025-10-26 21:57:22] INFO: Detection scale factor changed to 1.23
[2025-10-26 21:57:23] INFO: detection.scale_factor has been changed to 1.24
[2025-10-26 21:57:23] INFO: Detection scale factor changed to 1.24
[2025-10-26 21:57:23] INFO: detection.scale_factor has been changed to 1.24
[2025-10-26 21:57:23] INFO: Detection scale factor changed to 1.24
[2025-10-26 21:57:27] INFO: FaceCropSettingsPanel ctor - showCapture=false showSave=true
